First Term Gpa,Second Term Gpa,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Previous Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
2.956522,3.52381,3.0,4.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,86.32,35.0,8.0,1.0
2.157895,3.552632,3.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,75.0,49.0,8.0,1.0
4.02381,4.184211,3.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,5.0,90.11,44.0,10.0,0.0
1.975,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,69.0,32.12,9.0,1.0
0.4375,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,72.0,20.0,7.0,0.0
3.925,3.02381,1.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,4.0,85.78,39.0,7.0,1.0
2.571429,2.388889,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,87.0,38.0,9.0,1.0
3.4,3.326087,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,79.0,35.0,3.0,1.0
3.521739,3.288462,3.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,3.0,80.52,39.54,7.0,1.0
2.369565,2.6875,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,86.0,22.0,10.0,1.0
3.347826,2.704545,3.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,82.01,31.0,4.0,1.0
3.456522,2.98,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,80.56,42.23,9.0,1.0
0.3293835161904762,0.27021096000000006,3.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,58.02,19.0,7.0,0.0
3.880952,3.434783,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,82.0,42.0,9.0,1.0
1.541667,1.934783,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,74.0,24.0,9.0,1.0
3.56,3.318182,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,80.0,29.0,9.0,1.0
0.157895,0.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,77.0,19.0,7.0,0.0
2.58,2.282609,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,67.0,19.0,7.0,1.0
3.882353,3.605263,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,84.0,25.0,9.0,1.0
2.210526,2.363636,1.0,8.0,6.0,2.0,2.0,1.0,2.0,1.0,7.0,61.09,16.0,9.0,1.0
4.217391,4.333333,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,7.0,90.28,46.0,10.0,1.0
3.354167,3.681818,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,81.0,20.0,7.0,1.0
2.928571,2.375,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,3.0,65.0,36.0,9.0,1.0
3.452381,1.090909,3.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,3.0,76.18,47.0,10.0,1.0
3.818182,3.75,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,87.73,47.0,10.0,1.0
1.230769,1.625,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,72.0,23.0,7.0,1.0
3.916667,3.815789,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,93.0,39.0,9.0,1.0
1.176471,1.95,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,52.0,16.0,7.0,1.0
2.275,1.9,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,74.25,28.66,4.0,0.0
3.875,4.119048,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,85.0,40.0,10.0,1.0
1.568182,0.29009678,1.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,3.0,60.0,29.0,8.0,0.0
4.434783,4.46,1.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,95.36,34.11,9.0,1.0
2.416667,2.365385,3.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,3.0,75.7,30.65,7.0,1.0
1.59375,2.978261,3.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,74.77,36.0,7.0,1.0
2.304348,1.809524,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,76.13,29.07,8.0,1.0
3.5,3.5,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,3.0,85.86,38.83,4.0,1.0
0.0,1.2716966919999997,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,77.0,29.0,7.0,0.0
4.095238,3.97619,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,102.0,33.75,9.0,1.0
3.354167,3.821429,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.46,44.41,8.0,1.0
0.0,2.4883109931904763,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,81.96,36.91,8.0,0.0
3.083333,3.522727,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,3.0,96.0,42.0,9.0,0.0
4.261905,4.340909,1.0,8.0,6.0,2.0,2.0,1.0,2.0,2.0,8.0,84.19,38.0,9.0,1.0
4.23913,4.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,92.0,26.0,9.0,1.0
2.9,2.886364,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,76.83,35.86,8.0,1.0
3.5,3.692308,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,85.1515,41.02,8.0,1.0
3.565217,3.28,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,71.95,41.31,9.0,1.0
1.525,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,73.0,16.0,9.0,0.0
2.0,1.388889,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,78.0,22.0,7.0,0.0
1.285714,1.458333,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,3.0,67.99,24.87,10.0,1.0
0.0,0.18755196000000002,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,4.0,53.0,25.0,9.0,0.0
3.409091,3.194444,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,48.0,15.0,9.0,1.0
3.173913,3.18,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,79.19,39.18,10.0,1.0
3.025,3.275,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,82.0,29.0,9.0,1.0
2.434783,2.307692,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,72.13,32.39,8.0,1.0
3.568182,3.236842,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,75.83,45.0,9.0,1.0
2.90625,1.884615,3.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,79.0,27.0,9.0,1.0
3.35,3.361111,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,81.0,46.0,4.0,1.0
4.131579,3.891304,2.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,6.0,89.83,46.0,8.0,1.0
4.357143,4.409091,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,85.0,48.0,10.0,1.0
4.076923,4.434783,1.0,2.0,6.0,1.0,2.0,1.0,2.0,2.0,7.0,93.0,39.55,10.0,1.0
